name                                   time/op
IncresingTextSize/dsl_regex_8000-4     6.07ms ± 2%
IncresingTextSize/dsl_inord_8000-4      689µs ± 1%
IncresingTextSize/regex_8000-4         5.80ms ± 2%
IncresingTextSize/dsl_9000-4            800µs ± 1%
IncresingTextSize/dsl_regex_9000-4     6.15ms ± 3%
IncresingTextSize/dsl_inord_9000-4      799µs ± 1%
IncresingTextSize/regex_9000-4         5.80ms ± 2%
IncresingTextSize/dsl_10000-4           920µs ± 1%
IncresingTextSize/dsl_regex_10000-4    7.25ms ± 3%
IncresingTextSize/dsl_inord_10000-4     913µs ± 1%
IncresingTextSize/regex_10000-4        7.39ms ± 8%
